"Gene" "Type"
"AC069200.1" "misc_RNA"
"RN7SKP30" "misc_RNA"
"AC024243.1" "lncRNA"
"PDCL2" "protein_coding"
"NMU" "protein_coding"
"RNU6-276P" "snRNA"
"EXOC1L" "protein_coding"
"EXOC1" "protein_coding"
"RNU6-652P" "snRNA"
"AC110611.1" "lncRNA"
"AC110611.2" "lncRNA"
"CEP135" "protein_coding"
"CRACD" "protein_coding"
"RNA5SP161" "rRNA_pseudogene"
"RNU6-197P" "snRNA"
"AC022267.1" "lncRNA"
"MRPL22P1" "processed_pseudogene"
"AASDH" "protein_coding"
"RPL7AP31" "processed_pseudogene"
"AC068620.1" "lncRNA"
"PPAT" "protein_coding"
"AC068620.2" "lncRNA"
"AC068620.3" "transcribed_unprocessed_pseudogene"
"PAICS" "protein_coding"
"SRP72" "protein_coding"
"ARL9" "protein_coding"
"THEGL" "protein_coding"
"GLDCP1" "transcribed_processed_pseudogene"
"HOPX" "protein_coding"
"AC108215.1" "TEC"
"RPL17P20" "processed_pseudogene"
"AC022483.1" "processed_pseudogene"
"RN7SL492P" "misc_RNA"
"RN7SL357P" "misc_RNA"
"SPINK2" "protein_coding"
"AC022483.3" "misc_RNA"
"AC022483.2" "misc_RNA"
"REST" "protein_coding"
"AC069307.1" "lncRNA"
"NOA1" "protein_coding"
"POLR2B" "protein_coding"
"RNU6-998P" "snRNA"
"IGFBP7" "protein_coding"
"UBE2CP3" "processed_pseudogene"
"IGFBP7-AS1" "lncRNA"
"AC111197.1" "lncRNA"
"AC105390.1" "lncRNA"
"RPS26P24" "processed_pseudogene"
"LINC02380" "lncRNA"
"AC013724.1" "lncRNA"
"AC107396.1" "lncRNA"
"AC093725.2" "lncRNA"
"AC093725.1" "lncRNA"
"AC104790.1" "lncRNA"
"SRIP1" "processed_pseudogene"
"AC096725.1" "processed_pseudogene"
"LINC02494" "lncRNA"
"AC019133.1" "lncRNA"
"AC017091.1" "lncRNA"
"LINC02619" "lncRNA"
"LINC02429" "lncRNA"
"AC097501.1" "lncRNA"
"AC108517.2" "lncRNA"
"AC108517.1" "lncRNA"
"AC096588.1" "misc_RNA"
"AC096588.2" "lncRNA"
"AC093857.1" "lncRNA"
"AC092596.1" "misc_RNA"
"RNU6-1325P" "snRNA"
"AC092596.2" "lncRNA"
"AC097655.1" "processed_pseudogene"
"LINC02496" "lncRNA"
"AC105420.1" "processed_pseudogene"
"MIR548AG1" "miRNA"
"LINC02271" "lncRNA"
"ADGRL3" "protein_coding"
"RPL17P19" "processed_pseudogene"
"AC020741.1" "lncRNA"
"AC108161.1" "processed_pseudogene"
"AC092663.1" "misc_RNA"
"ADGRL3-AS1" "lncRNA"
"RPS15AP17" "processed_pseudogene"
"RPL21P47" "processed_pseudogene"
"AC105313.1" "processed_pseudogene"
"AC074087.2" "unitary_pseudogene"
"AC074087.1" "processed_pseudogene"
"HMGN1P11" "processed_pseudogene"
"EXOC5P1" "processed_pseudogene"
"AC097491.1" "lncRNA"
"LARP1BP1" "processed_pseudogene"
"AC093730.1" "lncRNA"
"TECRL" "protein_coding"
"RNU6-191P" "snRNA"
"DPP3P1" "processed_pseudogene"
"MTCO3P27" "unprocessed_pseudogene"
"MTCYBP16" "processed_pseudogene"
"MTND6P16" "unprocessed_pseudogene"
"MTND5P13" "processed_pseudogene"
"MTND4LP31" "unprocessed_pseudogene"
"MTND3P24" "unprocessed_pseudogene"
"MTCO3P28" "unprocessed_pseudogene"
"AC104689.1" "processed_pseudogene"
"AC104689.2" "lncRNA"
"LINC02232" "lncRNA"
"AC107058.1" "processed_pseudogene"
"EFL1P2" "processed_pseudogene"
"AC096754.1" "processed_pseudogene"
"LINC02835" "lncRNA"
"EPHA5" "protein_coding"
"AC115223.1" "processed_pseudogene"
"EPHA5-AS1" "lncRNA"
"AC104137.1" "lncRNA"
"RNU2-40P" "snRNA"
"AC097110.1" "lncRNA"
"AC116049.2" "lncRNA"
"AC096721.1" "lncRNA"
"AC116049.1" "processed_pseudogene"
"AC110809.1" "lncRNA"
"MIR1269A" "miRNA"
"RPS23P3" "processed_pseudogene"
"RNU6-699P" "snRNA"
"AC104806.2" "lncRNA"
"RNU1-63P" "snRNA"
"RNA5SP527" "rRNA"
"AC104806.1" "processed_pseudogene"
"CENPC" "protein_coding"
"STAP1" "protein_coding"
"AC096720.2" "TEC"
"UBA6" "protein_coding"
"AC096720.1" "processed_pseudogene"
"UBA6-AS1" "lncRNA"
"ST3GAL1P1" "processed_pseudogene"
"AC079880.2" "processed_pseudogene"
"AC079880.3" "processed_pseudogene"
"GNRHR" "protein_coding"
"AC079880.1" "snoRNA"
"TMPRSS11CP" "unprocessed_pseudogene"
"TMPRSS11D" "protein_coding"
"TMPRSS11A" "protein_coding"
"TMPRSS11GP" "transcribed_unprocessed_pseudogene"
"RNU6-95P" "snRNA"
"GCOM2" "processed_pseudogene"
"MTND2P41" "unprocessed_pseudogene"
"TMPRSS11F" "protein_coding"
"SYT14P1" "transcribed_processed_pseudogene"
"FTLP10" "transcribed_processed_pseudogene"
"TMPRSS11BNL" "transcribed_unprocessed_pseudogene"
"TMPRSS11B" "protein_coding"
"AC098799.3" "unprocessed_pseudogene"
"AC098799.1" "processed_pseudogene"
"AC098799.2" "processed_pseudogene"
"APOOP4" "processed_pseudogene"
"YTHDC1" "protein_coding"
"MT2P1" "processed_pseudogene"
"TMPRSS11E" "protein_coding"
"UGT2B29P" "unprocessed_pseudogene"
"UGT2B17" "protein_coding"
"AC147055.2" "processed_pseudogene"
"AC147055.4" "processed_pseudogene"
"AC147055.3" "unprocessed_pseudogene"
"UGT2B15" "protein_coding"
"AC147055.1" "unprocessed_pseudogene"
"AC093720.1" "unprocessed_pseudogene"
"AC021146.8" "unprocessed_pseudogene"
"UGT2B10" "protein_coding"
"AC021146.9" "unprocessed_pseudogene"
"AC021146.4" "unprocessed_pseudogene"
"AC021146.11" "unprocessed_pseudogene"
"AC021146.2" "processed_pseudogene"
"AC021146.3" "unprocessed_pseudogene"
"AC021146.12" "lncRNA"
"AC021146.6" "unprocessed_pseudogene"
"AC021146.1" "unprocessed_pseudogene"
"UGT2A3" "protein_coding"
"AC021146.10" "unprocessed_pseudogene"
"AC021146.5" "unprocessed_pseudogene"
"AC021146.7" "processed_pseudogene"
"UGT2B27P" "unprocessed_pseudogene"
"AC107401.1" "unprocessed_pseudogene"
"UGT2B26P" "unprocessed_pseudogene"
"UGT2B7" "protein_coding"
"AC111000.2" "unprocessed_pseudogene"
"AC111000.5" "processed_pseudogene"
"AC111000.3" "unprocessed_pseudogene"
"AC111000.6" "unprocessed_pseudogene"
"AC111000.1" "transcribed_unprocessed_pseudogene"
"AC111000.4" "lncRNA"
"UGT2B11" "protein_coding"
"AC114797.1" "unprocessed_pseudogene"
"AC114786.1" "processed_pseudogene"
"UGT2B28" "protein_coding"
"AC114786.3" "unprocessed_pseudogene"
"AC114786.2" "processed_pseudogene"
"AC114786.4" "unprocessed_pseudogene"
"UGT2B25P" "processed_pseudogene"
"AC108078.1" "unprocessed_pseudogene"
"UGT2B24P" "processed_pseudogene"
"AC108078.3" "unprocessed_pseudogene"
"AC108078.2" "unprocessed_pseudogene"
"UGT2B4" "protein_coding"
"UGT2A3P7" "unprocessed_pseudogene"
"AC093829.1" "unprocessed_pseudogene"
"UGT2A1" "protein_coding"
"UGT2A2" "protein_coding"
"SULT1B1" "protein_coding"
"SULT1D1P" "transcribed_unitary_pseudogene"
"AC108941.2" "protein_coding"
"SULT1E1" "protein_coding"
"AC108941.1" "processed_pseudogene"
"CSN1S1" "protein_coding"
"CSN2" "protein_coding"
"STATH" "protein_coding"
"HTN3" "protein_coding"
"HTN1" "protein_coding"
"CSN1S2AP" "transcribed_unitary_pseudogene"
"PRR27" "protein_coding"
"ODAM" "protein_coding"
"FDCSP" "protein_coding"
"CSN3" "protein_coding"
"CABS1" "protein_coding"
"SMR3A" "protein_coding"
"SMR3B" "protein_coding"
"OPRPN" "protein_coding"
"MUC7" "protein_coding"
"AMTN" "protein_coding"
"AMBN" "protein_coding"
"ENAM" "protein_coding"
"AC009570.2" "lncRNA"
"JCHAIN" "protein_coding"
"UTP3" "protein_coding"
"RNU6-520P" "snRNA"
"RNU6-784P" "snRNA"
"AC009570.1" "lncRNA"
"RUFY3" "protein_coding"
"GRSF1" "protein_coding"
"AC021989.1" "snRNA"
"RNU6-891P" "snRNA"
"MOB1B" "protein_coding"
"DCK" "protein_coding"
"SLC4A4" "protein_coding"
"AC096713.1" "processed_pseudogene"
"LDHAL6EP" "processed_pseudogene"
"GC" "protein_coding"
"RNA5SP163" "rRNA_pseudogene"
"AC068721.1" "lncRNA"
"NPFFR2" "protein_coding"
"ADAMTS3" "protein_coding"
"AC095056.1" "lncRNA"
"HNRNPA1P67" "processed_pseudogene"
"RNU4ATAC9P" "snRNA"
"RNU6ATAC5P" "snRNA"
"COX18" "protein_coding"
"ANKRD17" "protein_coding"
"HMGA1P2" "processed_pseudogene"
"AC053527.2" "lncRNA"
"AC053527.1" "snoRNA"
"AC108157.1" "processed_pseudogene"
"ALB" "protein_coding"
"AFP" "protein_coding"
"AFM" "protein_coding"
"LINC02499" "lncRNA"
"AC074250.1" "processed_pseudogene"
"RASSF6" "protein_coding"
"UMLILO" "lncRNA"
"CXCL8" "protein_coding"
"AC112518.1" "processed_pseudogene"
"CXCL6" "protein_coding"
"PPBPP1" "transcribed_unprocessed_pseudogene"
"PF4V1" "protein_coding"
"CXCL1" "protein_coding"
"HNRNPA1P55" "processed_pseudogene"
"CXCL1P1" "processed_pseudogene"
"PF4" "protein_coding"
"PPBP" "protein_coding"
"CXCL5" "protein_coding"
"AC097709.1" "lncRNA"
"RN7SL218P" "misc_RNA"
"CXCL3" "protein_coding"
"PPBPP2" "transcribed_unprocessed_pseudogene"
"AC093677.3" "lncRNA"
"AC093677.1" "processed_pseudogene"
"CXCL2" "protein_coding"
"MTHFD2L" "protein_coding"
"AC093677.2" "lncRNA"
"EPGN" "protein_coding"
"EREG" "protein_coding"
"AC021180.1" "lncRNA"
"AREG" "protein_coding"
"AC239584.1" "lncRNA"
"BTC" "protein_coding"
"AC098825.1" "lncRNA"
"HSPE1P23" "processed_pseudogene"
"PARM1" "protein_coding"
"AC110760.2" "lncRNA"
"AC110760.1" "lncRNA"
"LINC02562" "lncRNA"
"AC110760.3" "transcribed_processed_pseudogene"
"AC093870.1" "processed_pseudogene"
"AC025244.1" "lncRNA"
"AC025244.2" "lncRNA"
"LINC02483" "lncRNA"
"AC096759.1" "lncRNA"
"AC096759.2" "lncRNA"
"RCHY1" "protein_coding"
"THAP6" "protein_coding"
"ODAPH" "protein_coding"
"CDKL2" "protein_coding"
"G3BP2" "protein_coding"
"AC104828.1" "misc_RNA"
"USO1" "protein_coding"
"AC110615.1" "lncRNA"
"RNU2-16P" "snRNA"
"PPEF2" "protein_coding"
"NAAA" "protein_coding"
"SDAD1" "protein_coding"
"AC112719.2" "lncRNA"
"CXCL9" "protein_coding"
"ART3" "protein_coding"
"CXCL10" "protein_coding"
"CXCL11" "protein_coding"
"AC112719.1" "processed_pseudogene"
"NUP54" "protein_coding"
"AC110795.1" "lncRNA"
"SCARB2" "protein_coding"
"FAM47E" "protein_coding"
"AC034139.1" "lncRNA"
"FAM47E-STBD1" "protein_coding"
"STBD1" "protein_coding"
"CCDC158" "protein_coding"
"SNX5P1" "processed_pseudogene"
"RNU6-1000P" "snRNA"
"AC096743.2" "processed_pseudogene"
"AC096743.1" "snoRNA"
"SHROOM3" "protein_coding"
"AC112249.1" "processed_pseudogene"
"RNU6-145P" "snRNA"
"MIR4450" "miRNA"
"MIR548AH" "miRNA"
"AC107072.2" "lncRNA"
"AC107072.1" "lncRNA"
"AC104687.2" "processed_pseudogene"
"AC104687.1" "processed_pseudogene"
"SOWAHB" "protein_coding"
"SEPTIN11" "protein_coding"
"TXNP6" "processed_pseudogene"
"CCNI" "protein_coding"
"RPL7P17" "processed_pseudogene"
"AC104771.1" "processed_pseudogene"
"RNU6-1187P" "snRNA"
"CCNG2" "protein_coding"
"AC008638.3" "processed_pseudogene"
"AC008638.2" "processed_pseudogene"
"AC008638.1" "processed_pseudogene"
"AC092674.1" "lncRNA"
"CXCL13" "protein_coding"
"AC104701.1" "snoRNA"
"CNOT6L" "protein_coding"
"MRPL1" "protein_coding"
"AC112225.1" "processed_pseudogene"
"AC114801.2" "processed_pseudogene"
"HMGB1P44" "processed_pseudogene"
"HNRNPA1P56" "processed_pseudogene"
"AC114801.1" "processed_pseudogene"
"AC114801.3" "processed_pseudogene"
"FRAS1" "protein_coding"
"SERBP1P5" "processed_pseudogene"
"MICOS10P4" "processed_pseudogene"
"ANXA3" "protein_coding"
"AC112253.1" "misc_RNA"
"LINC01094" "lncRNA"
"HIGD1AP13" "processed_pseudogene"
"AC112253.2" "lncRNA"
"AC098818.1" "processed_pseudogene"
"AC098818.2" "lncRNA"
"BMP2K" "protein_coding"
"AC098818.3" "miRNA"
"PAQR3" "protein_coding"
"RN7SL127P" "misc_RNA"
"LINC01088" "lncRNA"
"NAA11" "protein_coding"
"GK2" "protein_coding"
"LINC00989" "lncRNA"
"OR7E94P" "transcribed_unprocessed_pseudogene"
"AC092542.1" "lncRNA"
"LINC02469" "lncRNA"
"PCAT4" "lncRNA"
"AC118141.1" "snoRNA"
"ANTXR2" "protein_coding"
"KPNA2P1" "processed_pseudogene"
"RPSAP39" "processed_pseudogene"
"AC021127.1" "lncRNA"
"PRDM8" "protein_coding"
"FGF5" "protein_coding"
"CFAP299" "protein_coding"
"AC105917.1" "processed_pseudogene"
"BMP3" "protein_coding"
"PRKG2" "protein_coding"
"AC139722.1" "lncRNA"
"RNU5A-2P" "snRNA"
"RASGEF1B" "protein_coding"
"MTCYBP44" "processed_pseudogene"
"COX5BP1" "processed_pseudogene"
"AC021863.1" "snoRNA"
"NPM1P41" "processed_pseudogene"
"HNRNPA3P13" "processed_pseudogene"
"RNU6-499P" "snRNA"
"BIN2P1" "processed_pseudogene"
"VAMP9P" "transcribed_unitary_pseudogene"
"AC124016.3" "lncRNA"
"HNRNPD" "protein_coding"
"AC124016.2" "lncRNA"
"IGBP1P4" "processed_pseudogene"
"AC124016.1" "snoRNA"
"HNRNPDL" "protein_coding"
"ENOPH1" "protein_coding"
"TMEM150C" "protein_coding"
"RPL7AP26" "processed_pseudogene"
"AC067942.1" "transcribed_processed_pseudogene"
"AC067942.3" "processed_pseudogene"
"AC067942.2" "processed_pseudogene"
"LINC00575" "lncRNA"
"AC067942.4" "lncRNA"
"SCD5" "protein_coding"
"AC073413.1" "processed_pseudogene"
"MIR575" "miRNA"
"AC073413.2" "processed_pseudogene"
"SEC31A" "protein_coding"
"THAP9-AS1" "lncRNA"
"THAP9" "protein_coding"
"LIN54" "protein_coding"
"AC021105.1" "misc_RNA"
"RNU6-615P" "snRNA"
"COPS4" "protein_coding"
"AC073840.1" "lncRNA"
"PLAC8" "protein_coding"
"AC114781.2" "lncRNA"
"AC114781.3" "processed_pseudogene"
"AC114781.1" "processed_pseudogene"
"COQ2" "protein_coding"
"HPSE" "protein_coding"
"AC114781.5" "processed_pseudogene"
"AC114781.4" "processed_pseudogene"
"HELQ" "protein_coding"
"MRPS18C" "protein_coding"
"ABRAXAS1" "protein_coding"
"SLC25A14P1" "processed_pseudogene"
"RPL30P5" "processed_pseudogene"
"GPAT3" "protein_coding"
"AC021192.1" "misc_RNA"
"AC021192.2" "lncRNA"
"AC079160.1" "lncRNA"
"RNU6-774P" "snRNA"
"AC025538.1" "processed_pseudogene"
"AC104063.1" "lncRNA"
"NKX6-1" "protein_coding"
"RPL3P13" "processed_pseudogene"
"CDS1" "protein_coding"
"WDFY3" "protein_coding"
"RN7SL552P" "misc_RNA"
"WDFY3-AS1" "lncRNA"
"RNU6-469P" "snRNA"
"WDFY3-AS2" "lncRNA"
"AC108021.1" "lncRNA"
"RN7SKP48" "misc_RNA"
"AC097488.1" "processed_pseudogene"
"ARHGAP24" "protein_coding"
"MIR4451" "miRNA"
"MAPK10" "polymorphic_pseudogene"
"MAPK10-AS1" "lncRNA"
"RN7SKP96" "misc_RNA"
"MIR4452" "miRNA"
"PTPN13" "protein_coding"
"SLC10A6" "protein_coding"
"AC093827.1" "processed_pseudogene"
"C4orf36" "protein_coding"
"AC093827.2" "processed_pseudogene"
"AC093827.5" "protein_coding"
"AC093827.3" "processed_pseudogene"
"AC093827.4" "lncRNA"
"AFF1" "protein_coding"
"TECRP1" "processed_pseudogene"
"KLHL8" "protein_coding"
"AC092658.1" "processed_pseudogene"
"GAPDHP60" "processed_pseudogene"
"AC108516.1" "lncRNA"
"MIR5705" "miRNA"
"HSD17B13" "protein_coding"
"AC108516.2" "lncRNA"
"HSD17B11" "protein_coding"
"RN7SL681P" "misc_RNA"
"AC112250.1" "processed_pseudogene"
"NUDT9" "protein_coding"
"AC112250.2" "lncRNA"
"SPARCL1" "protein_coding"
"AC093895.2" "lncRNA"
"DSPP" "protein_coding"
"DMP1" "protein_coding"
"AC093895.1" "misc_RNA"
"CHCHD2P7" "processed_pseudogene"
"IBSP" "protein_coding"
"MEPE" "protein_coding"
"HSP90AB3P" "processed_pseudogene"
"AC131944.1" "lncRNA"
"SPP1" "protein_coding"
"RNU1-36P" "snRNA"
"PKD2" "protein_coding"
"ABCG2" "protein_coding"
"AC097484.1" "processed_pseudogene"
"RNU6-818P" "snRNA"
"RNU6ATAC31P" "snRNA"
"AC097484.2" "processed_pseudogene"
"RNU6-1298P" "snRNA"
"PPM1K" "protein_coding"
"RNU6-112P" "snRNA"
"PPM1K-DT" "lncRNA"
"AC107067.1" "misc_RNA"
"AC107067.3" "lncRNA"
"AC107067.2" "lncRNA"
"HERC6" "protein_coding"
"HERC5" "protein_coding"
"NCOA4P2" "processed_pseudogene"
"PYURF" "protein_coding"
"PIGY" "protein_coding"
"AC098582.1" "protein_coding"
"PIGY-DT" "lncRNA"
"AC083829.1" "processed_pseudogene"
"RN7SKP244" "misc_RNA"
"HERC3" "protein_coding"
"RNU6-33P" "snRNA"
"NAP1L5" "protein_coding"
"FAM13A-AS1" "lncRNA"
"AC108065.2" "misc_RNA"
"AC108065.1" "misc_RNA"
"FAM13A" "protein_coding"
"TIGD2" "protein_coding"
"AC104785.1" "lncRNA"
"RNU6-907P" "snRNA"
"GPRIN3" "protein_coding"
"AC093866.1" "lncRNA"
"AC097478.4" "lncRNA"
"SNCA" "protein_coding"
"AC097478.1" "lncRNA"
"AC097478.3" "lncRNA"
"AC097478.2" "lncRNA"
"SNCA-AS1" "lncRNA"
"MMRN1" "protein_coding"
"AC105445.1" "lncRNA"
"CCSER1" "protein_coding"
"RN7SKP248" "misc_RNA"
"AC093729.1" "processed_pseudogene"
"TMSB4XP8" "processed_pseudogene"
"AC004054.1" "lncRNA"
"AC074124.1" "lncRNA"
"AC110774.1" "TEC"
"KRT19P6" "processed_pseudogene"
"AC093810.1" "lncRNA"
"PMPCAP1" "processed_pseudogene"
"AC097520.2" "lncRNA"
"AC097520.1" "TEC"
"LNCPRESS2" "lncRNA"
"AC112695.1" "lncRNA"
"GRID2" "protein_coding"
"MTND1P19" "processed_pseudogene"
"AC095059.2" "processed_pseudogene"
"AC095059.1" "lncRNA"
"AC020699.1" "processed_pseudogene"
"AC110800.1" "lncRNA"
"RNA5SP164" "rRNA_pseudogene"
"ATOH1" "protein_coding"
"AC096746.1" "lncRNA"
"HMGB3P15" "processed_pseudogene"
"SMARCAD1" "protein_coding"
"HPGDS" "protein_coding"
"AC109925.2" "lncRNA"
"AC109925.1" "processed_pseudogene"
"PDLIM5" "protein_coding"
"AC108067.1" "lncRNA"
"BMPR1B-DT" "lncRNA"
"BMPR1B" "protein_coding"
"UNC5C" "protein_coding"
"AC106881.1" "lncRNA"
"RPL30P6" "processed_pseudogene"
"PDHA2" "protein_coding"
"RNU6-1059P" "snRNA"
"RNU6-34P" "snRNA"
"AC096661.1" "processed_pseudogene"
"LINC02267" "lncRNA"
"RN7SKP28" "misc_RNA"
"AC096585.1" "lncRNA"
"COX7A2P2" "processed_pseudogene"
"AC108515.1" "lncRNA"
"STPG2" "protein_coding"
"AC034154.1" "lncRNA"
"STPG2-AS1" "lncRNA"
"CRYZP2" "processed_pseudogene"
"RPL5P12" "processed_pseudogene"
"DUTP8" "processed_pseudogene"
"AC019077.1" "lncRNA"
"RAP1GDS1" "protein_coding"
"AC058823.1" "processed_pseudogene"
"TSPAN5" "protein_coding"
"AC108159.1" "lncRNA"
"AC114811.2" "lncRNA"
"AC114811.1" "processed_pseudogene"
"BTF3P13" "processed_pseudogene"
"EIF4E" "protein_coding"
"TBCAP3" "transcribed_processed_pseudogene"
"AC019131.1" "lncRNA"
"FAM177A1P1" "processed_pseudogene"
"AC019131.3" "lncRNA"
"RNU7-149P" "snRNA"
"NDUFS5P4" "processed_pseudogene"
"METAP1" "protein_coding"
"MIR3684" "miRNA"
"ABT1P1" "processed_pseudogene"
"AC019131.2" "lncRNA"
"ADH5" "protein_coding"
"AP002026.1" "lncRNA"
"ADH4" "protein_coding"
"PCNAP1" "transcribed_processed_pseudogene"
"ADH6" "protein_coding"
"ADH1A" "protein_coding"
"ADH1B" "protein_coding"
"ADH1C" "protein_coding"
"ADH7" "protein_coding"
"AP001960.1" "unprocessed_pseudogene"
"C4orf17" "protein_coding"
"TRMT10A" "protein_coding"
"MTTP" "protein_coding"
"AC083902.1" "lncRNA"
"C4orf54" "protein_coding"
"DAPP1" "protein_coding"
"AP001962.1" "TEC"
"LAMTOR3" "protein_coding"
"DNAJB14" "protein_coding"
"AC097460.2" "TEC"
"H2AZ1" "protein_coding"
"H2AZ1-DT" "lncRNA"
"AC097460.1" "processed_pseudogene"
"DYNLL1P6" "processed_pseudogene"
"DDIT4L" "protein_coding"
"AP001961.1" "lncRNA"
"EMCN" "protein_coding"
"AC097459.1" "lncRNA"
"LINC01216" "lncRNA"
"LINC01217" "lncRNA"
"LINC01218" "lncRNA"
"PPP3CA" "protein_coding"
"MIR8066" "miRNA"
"MIR1255A" "miRNA"
"AP001816.1" "lncRNA"
"BANK1" "protein_coding"
"AC084277.1" "lncRNA"
"RNU6-462P" "snRNA"
"MTND5P5" "processed_pseudogene"
"AP002075.1" "lncRNA"
"SLC39A8" "protein_coding"
"RN7SL728P" "misc_RNA"
"AC098487.1" "lncRNA"
"AF213884.2" "processed_pseudogene"
"AF213884.3" "lncRNA"
"NFKB1" "protein_coding"
"MANBA" "protein_coding"
"AF213884.1" "processed_pseudogene"
"LRRC37A15P" "processed_pseudogene"
"KRT8P46" "processed_pseudogene"
"AC018797.1" "processed_pseudogene"
"AC018797.2" "processed_pseudogene"
"UBE2D3" "protein_coding"
"AC018797.3" "lncRNA"
"UBE2D3-AS1" "lncRNA"
"RNU7-151P" "snRNA"
"CISD2" "protein_coding"
"SLC9B1" "protein_coding"
"PABPC1P7" "processed_pseudogene"
"ACTR3BP4" "processed_pseudogene"
"SLC9B2" "protein_coding"
"BDH2" "protein_coding"
"CENPE" "protein_coding"
"LINC02428" "lncRNA"
"AC105460.2" "lncRNA"
"AC105460.1" "lncRNA"
"DDX3P3" "processed_pseudogene"
"TACR3" "protein_coding"
"AC004047.1" "lncRNA"
"RNU6-635P" "snRNA"
"LINC02503" "lncRNA"
"AC004052.1" "lncRNA"
"CXXC4" "protein_coding"
"CXXC4-AS1" "lncRNA"
"AC004063.1" "lncRNA"
"AC004053.1" "lncRNA"
"AC105918.1" "processed_pseudogene"
"AC096577.1" "lncRNA"
"RNU6-351P" "snRNA"
"AC096577.2" "processed_pseudogene"
"AC004069.2" "processed_pseudogene"
"AC004069.3" "snoRNA"
"AC004069.1" "lncRNA"
"TET2" "protein_coding"
"TET2-AS1" "lncRNA"
"RN7SL89P" "misc_RNA"
"PPA2" "protein_coding"
"RNU6-553P" "snRNA"
"EEF1A1P9" "processed_pseudogene"
"AC004066.1" "processed_pseudogene"
"ATP5F1EP1" "processed_pseudogene"
"AC004066.2" "lncRNA"
"ARHGEF38" "protein_coding"
"ARHGEF38-IT1" "lncRNA"
"AC105391.1" "processed_pseudogene"
"INTS12" "protein_coding"
"GSTCD" "protein_coding"
"GSTCD-AS1" "lncRNA"
"NPNT" "protein_coding"
"AC109361.2" "lncRNA"
"AC109361.1" "lncRNA"
"TBCK" "protein_coding"
"AIMP1" "protein_coding"
"GIMD1" "protein_coding"
"LINC02173" "lncRNA"
"AC092445.1" "lncRNA"
"ACTR6P1" "processed_pseudogene"
"DKK2" "protein_coding"
"RAC1P5" "processed_pseudogene"
"AC104663.1" "lncRNA"
"RNU6-551P" "snRNA"
"PAPSS1" "protein_coding"
"SGMS2" "protein_coding"
"AC096564.1" "lncRNA"
"RNU6-733P" "snRNA"
"CYP2U1" "protein_coding"
"AC096564.2" "lncRNA"
"HADH" "protein_coding"
"LEF1" "protein_coding"
"LEF1-AS1" "lncRNA"
"RPSAP34" "processed_pseudogene"
"ZACNP1" "unprocessed_pseudogene"
"EXOC7P1" "processed_pseudogene"
"RPL34-AS1" "lncRNA"
"RPL34" "protein_coding"
"OSTC" "protein_coding"
"RNU6-431P" "snRNA"
"AC107071.1" "lncRNA"
"ETNPPL" "protein_coding"
"AC097473.1" "processed_pseudogene"
"RCC2P8" "processed_pseudogene"
"COL25A1" "protein_coding"
"COL25A1-DT" "lncRNA"
"RBMXP4" "processed_pseudogene"
"SEC24B-AS1" "lncRNA"
"SEC24B" "protein_coding"
"RN7SL55P" "misc_RNA"
"MIR576" "miRNA"
"SETP20" "processed_pseudogene"
"CDC42P4" "processed_pseudogene"
"MCUB" "protein_coding"
"HIGD1AP14" "processed_pseudogene"
"CASP6" "protein_coding"
"AC004067.1" "lncRNA"
"PLA2G12A" "protein_coding"
"AC126283.2" "protein_coding"
"CFI" "protein_coding"
"AC126283.1" "lncRNA"
"GAR1" "protein_coding"
"RRH" "protein_coding"
"LRIT3" "protein_coding"
"KRT19P3" "processed_pseudogene"
"EGF" "protein_coding"
"RNU6-35P" "snRNA"
"ELOVL6" "protein_coding"
"RN7SL275P" "misc_RNA"
"AC093770.1" "processed_pseudogene"
"HSBP1P2" "processed_pseudogene"
"AC108145.1" "processed_pseudogene"
"RNU6-205P" "snRNA"
"ZBED1P1" "processed_pseudogene"
"ENPEP" "protein_coding"
"RPL7L1P13" "processed_pseudogene"
"ZNF969P" "processed_pseudogene"
"AC093872.1" "snoRNA"
"AC098798.1" "lncRNA"
"PANCR" "lncRNA"
"PITX2" "protein_coding"
"LINC01438" "lncRNA"
"MIR297" "miRNA"
"LYPLA1P2" "processed_pseudogene"
"AC004062.1" "processed_pseudogene"
"RNU6-289P" "snRNA"
"AC083795.1" "processed_pseudogene"
"AC083795.2" "lncRNA"
"AC139718.2" "lncRNA"
"AC139718.1" "lncRNA"
"AC004704.1" "lncRNA"
"CCDC34P1" "processed_pseudogene"
"TUBB8P3" "processed_pseudogene"
"AC093663.1" "processed_pseudogene"
"FAM241A" "protein_coding"
"AC093663.2" "processed_pseudogene"
"AC109347.1" "lncRNA"
"AP1AR" "protein_coding"
"AC109347.2" "lncRNA"
"TIFA" "protein_coding"
"ALPK1" "protein_coding"
"RTEL1P1" "transcribed_processed_pseudogene"
"TOX4P1" "processed_pseudogene"
"NEUROG2" "protein_coding"
"NEUROG2-AS1" "lncRNA"
"RPL23AP94" "processed_pseudogene"
"ZGRF1" "protein_coding"
"H3P14" "processed_pseudogene"
"LARP7" "protein_coding"
"MIR302CHG" "lncRNA"
"MIR367" "miRNA"
"MIR302D" "miRNA"
"MIR302A" "miRNA"
"MIR302C" "miRNA"
"MIR302B" "miRNA"
"OSTCP4" "processed_pseudogene"
"AC106864.1" "lncRNA"
"WRBP1" "transcribed_processed_pseudogene"
